2022-12-19/12:51:51		'App_Logger' object is not callable
2022-12-19/13:16:10		Column_number :: 20	Column_names :: {'CustomerID': 'INTEGER', 'ProdTaken': 'INTEGER', 'Age': 'FLOAT', 'TypeofContact': 'OBJECT', 'CityTier': 'INTEGER', 'DurationOfPitch': 'FLOAT', 'Occupation': 'OBJECT', 'Gender': 'OBJECT', 'NumberOfPersonVisiting': 'INTEGER', 'NumberOfFollowups': 'FLOAT', 'ProductPitched': 'OBJECT', 'PreferredPropertyStar': 'FLOAT', 'MaritalStatus': 'OBJECT', 'NumberOfTrips': 'OBJECT', 'Passport': 'INTEGER', 'PitchSatisfactionScore': 'INTEGER', 'OwnCar': 'INTEGER', 'NumberOfChildrenVisiting': 'FLOAT', 'Designation': 'OBJECT', 'MonthlyIncome': 'FLOAT'}
2022-12-19/13:16:10		Column_number :: 20	Column_names :: {'CustomerID': 'INTEGER', 'ProdTaken': 'INTEGER', 'Age': 'FLOAT', 'TypeofContact': 'OBJECT', 'CityTier': 'INTEGER', 'DurationOfPitch': 'FLOAT', 'Occupation': 'OBJECT', 'Gender': 'OBJECT', 'NumberOfPersonVisiting': 'INTEGER', 'NumberOfFollowups': 'FLOAT', 'ProductPitched': 'OBJECT', 'PreferredPropertyStar': 'FLOAT', 'MaritalStatus': 'OBJECT', 'NumberOfTrips': 'OBJECT', 'Passport': 'INTEGER', 'PitchSatisfactionScore': 'INTEGER', 'OwnCar': 'INTEGER', 'NumberOfChildrenVisiting': 'FLOAT', 'Designation': 'OBJECT', 'MonthlyIncome': 'FLOAT'}
2022-12-19/13:16:43		Column_number :: 20	Column_names :: {'CustomerID': 'INTEGER', 'ProdTaken': 'INTEGER', 'Age': 'FLOAT', 'TypeofContact': 'OBJECT', 'CityTier': 'INTEGER', 'DurationOfPitch': 'FLOAT', 'Occupation': 'OBJECT', 'Gender': 'OBJECT', 'NumberOfPersonVisiting': 'INTEGER', 'NumberOfFollowups': 'FLOAT', 'ProductPitched': 'OBJECT', 'PreferredPropertyStar': 'FLOAT', 'MaritalStatus': 'OBJECT', 'NumberOfTrips': 'OBJECT', 'Passport': 'INTEGER', 'PitchSatisfactionScore': 'INTEGER', 'OwnCar': 'INTEGER', 'NumberOfChildrenVisiting': 'FLOAT', 'Designation': 'OBJECT', 'MonthlyIncome': 'FLOAT'}
2022-12-19/13:16:43		Column_number :: 20	Column_names :: {'CustomerID': 'INTEGER', 'ProdTaken': 'INTEGER', 'Age': 'FLOAT', 'TypeofContact': 'OBJECT', 'CityTier': 'INTEGER', 'DurationOfPitch': 'FLOAT', 'Occupation': 'OBJECT', 'Gender': 'OBJECT', 'NumberOfPersonVisiting': 'INTEGER', 'NumberOfFollowups': 'FLOAT', 'ProductPitched': 'OBJECT', 'PreferredPropertyStar': 'FLOAT', 'MaritalStatus': 'OBJECT', 'NumberOfTrips': 'OBJECT', 'Passport': 'INTEGER', 'PitchSatisfactionScore': 'INTEGER', 'OwnCar': 'INTEGER', 'NumberOfChildrenVisiting': 'FLOAT', 'Designation': 'OBJECT', 'MonthlyIncome': 'FLOAT'}
2022-12-19/13:20:19		Column_number :: 20	Column_names :: {'CustomerID': 'INTEGER', 'ProdTaken': 'INTEGER', 'Age': 'FLOAT', 'TypeofContact': 'OBJECT', 'CityTier': 'INTEGER', 'DurationOfPitch': 'FLOAT', 'Occupation': 'OBJECT', 'Gender': 'OBJECT', 'NumberOfPersonVisiting': 'INTEGER', 'NumberOfFollowups': 'FLOAT', 'ProductPitched': 'OBJECT', 'PreferredPropertyStar': 'FLOAT', 'MaritalStatus': 'OBJECT', 'NumberOfTrips': 'OBJECT', 'Passport': 'INTEGER', 'PitchSatisfactionScore': 'INTEGER', 'OwnCar': 'INTEGER', 'NumberOfChildrenVisiting': 'FLOAT', 'Designation': 'OBJECT', 'MonthlyIncome': 'FLOAT'}
2022-12-19/13:20:19		Column_number :: 20	Column_names :: {'CustomerID': 'INTEGER', 'ProdTaken': 'INTEGER', 'Age': 'FLOAT', 'TypeofContact': 'OBJECT', 'CityTier': 'INTEGER', 'DurationOfPitch': 'FLOAT', 'Occupation': 'OBJECT', 'Gender': 'OBJECT', 'NumberOfPersonVisiting': 'INTEGER', 'NumberOfFollowups': 'FLOAT', 'ProductPitched': 'OBJECT', 'PreferredPropertyStar': 'FLOAT', 'MaritalStatus': 'OBJECT', 'NumberOfTrips': 'OBJECT', 'Passport': 'INTEGER', 'PitchSatisfactionScore': 'INTEGER', 'OwnCar': 'INTEGER', 'NumberOfChildrenVisiting': 'FLOAT', 'Designation': 'OBJECT', 'MonthlyIncome': 'FLOAT'}
2022-12-19/13:21:09		Column_number :: 20	Column_names :: {'CustomerID': 'INTEGER', 'ProdTaken': 'INTEGER', 'Age': 'FLOAT', 'TypeofContact': 'OBJECT', 'CityTier': 'INTEGER', 'DurationOfPitch': 'FLOAT', 'Occupation': 'OBJECT', 'Gender': 'OBJECT', 'NumberOfPersonVisiting': 'INTEGER', 'NumberOfFollowups': 'FLOAT', 'ProductPitched': 'OBJECT', 'PreferredPropertyStar': 'FLOAT', 'MaritalStatus': 'OBJECT', 'NumberOfTrips': 'OBJECT', 'Passport': 'INTEGER', 'PitchSatisfactionScore': 'INTEGER', 'OwnCar': 'INTEGER', 'NumberOfChildrenVisiting': 'FLOAT', 'Designation': 'OBJECT', 'MonthlyIncome': 'FLOAT'}
2022-12-19/13:21:20		Column_number :: 20	Column_names :: {'CustomerID': 'INTEGER', 'ProdTaken': 'INTEGER', 'Age': 'FLOAT', 'TypeofContact': 'OBJECT', 'CityTier': 'INTEGER', 'DurationOfPitch': 'FLOAT', 'Occupation': 'OBJECT', 'Gender': 'OBJECT', 'NumberOfPersonVisiting': 'INTEGER', 'NumberOfFollowups': 'FLOAT', 'ProductPitched': 'OBJECT', 'PreferredPropertyStar': 'FLOAT', 'MaritalStatus': 'OBJECT', 'NumberOfTrips': 'OBJECT', 'Passport': 'INTEGER', 'PitchSatisfactionScore': 'INTEGER', 'OwnCar': 'INTEGER', 'NumberOfChildrenVisiting': 'FLOAT', 'Designation': 'OBJECT', 'MonthlyIncome': 'FLOAT'}
2022-12-19/13:37:56		Column_number :: 20	Column_names :: {'CustomerID': 'INTEGER', 'ProdTaken': 'INTEGER', 'Age': 'FLOAT', 'TypeofContact': 'OBJECT', 'CityTier': 'INTEGER', 'DurationOfPitch': 'FLOAT', 'Occupation': 'OBJECT', 'Gender': 'OBJECT', 'NumberOfPersonVisiting': 'INTEGER', 'NumberOfFollowups': 'FLOAT', 'ProductPitched': 'OBJECT', 'PreferredPropertyStar': 'FLOAT', 'MaritalStatus': 'OBJECT', 'NumberOfTrips': 'OBJECT', 'Passport': 'INTEGER', 'PitchSatisfactionScore': 'INTEGER', 'OwnCar': 'INTEGER', 'NumberOfChildrenVisiting': 'FLOAT', 'Designation': 'OBJECT', 'MonthlyIncome': 'FLOAT'}
2022-12-19/13:38:08		Column_number :: 20	Column_names :: {'CustomerID': 'INTEGER', 'ProdTaken': 'INTEGER', 'Age': 'FLOAT', 'TypeofContact': 'OBJECT', 'CityTier': 'INTEGER', 'DurationOfPitch': 'FLOAT', 'Occupation': 'OBJECT', 'Gender': 'OBJECT', 'NumberOfPersonVisiting': 'INTEGER', 'NumberOfFollowups': 'FLOAT', 'ProductPitched': 'OBJECT', 'PreferredPropertyStar': 'FLOAT', 'MaritalStatus': 'OBJECT', 'NumberOfTrips': 'OBJECT', 'Passport': 'INTEGER', 'PitchSatisfactionScore': 'INTEGER', 'OwnCar': 'INTEGER', 'NumberOfChildrenVisiting': 'FLOAT', 'Designation': 'OBJECT', 'MonthlyIncome': 'FLOAT'}
