2023-01-08/15:48:08		Encoding has been started.... 
2023-01-08/15:48:08		Encoding succesfully finished !!!!
2023-01-08/15:50:46		Encoding has been started.... 
2023-01-08/15:50:46		Encoding succesfully finished !!!!
2023-01-08/15:55:44		Encoding has been started.... 
2023-01-08/15:55:44		Encoding succesfully finished !!!!
2023-01-08/15:56:14		Encoding has been started.... 
2023-01-08/15:56:14		Encoding succesfully finished !!!!
2023-01-08/15:59:53		Encoding has been started.... 
2023-01-08/15:59:53		Encoding succesfully finished !!!!
2023-01-08/15:59:54		Encoding has been started.... 
2023-01-08/15:59:54		Encoding succesfully finished !!!!
2023-01-08/16:02:23		Encoding has been started.... 
2023-01-08/16:02:23		Encoding succesfully finished !!!!
2023-01-08/16:04:53		Encoding has been started.... 
2023-01-08/16:04:53		Encoding succesfully finished !!!!
2023-01-08/16:04:54		Encoding has been started.... 
2023-01-08/16:04:54		Encoding succesfully finished !!!!
2023-01-08/16:05:24		Encoding has been started.... 
2023-01-08/16:05:24		Encoding succesfully finished !!!!
2023-01-08/16:05:28		Encoding has been started.... 
2023-01-08/16:05:28		Encoding succesfully finished !!!!
2023-01-08/16:06:02		Encoding has been started.... 
2023-01-08/16:06:02		Encoding succesfully finished !!!!
2023-01-08/16:06:05		Encoding has been started.... 
2023-01-08/16:06:05		Encoding succesfully finished !!!!
2023-01-08/16:18:00		Encoding has been started.... 
2023-01-08/16:18:00		Encoding succesfully finished !!!!
2023-01-08/16:18:01		Encoding has been started.... 
2023-01-08/16:18:01		Encoding succesfully finished !!!!
2023-01-08/16:21:46		Encoding has been started.... 
2023-01-08/16:21:46		Encoding succesfully finished !!!!
2023-01-08/16:22:23		Encoding has been started.... 
2023-01-08/16:22:23		Encoding succesfully finished !!!!
2023-01-08/16:22:25		Encoding has been started.... 
2023-01-08/16:22:25		Encoding succesfully finished !!!!
2023-01-08/18:51:06		Encoding has been started.... 
2023-01-08/18:51:06		Encoding succesfully finished !!!!
2023-01-08/18:51:07		Encoding has been started.... 
2023-01-08/18:51:07		Encoding succesfully finished !!!!
2023-01-14/20:19:58		Encoding has been started.... 
2023-01-14/20:19:59		Encoding succesfully finished !!!!
2023-01-14/20:46:40		Encoding has been started.... 
2023-01-14/20:46:40		Encoding succesfully finished !!!!
2023-01-14/20:47:20		Encoding has been started.... 
2023-01-14/20:47:20		Encoding succesfully finished !!!!
2023-01-14/20:47:21		Encoding has been started.... 
2023-01-14/20:47:21		Encoding succesfully finished !!!!
2023-01-14/20:53:37		Encoding has been started.... 
2023-01-14/20:53:37		Encoding succesfully finished !!!!
2023-01-14/22:05:33		Encoding has been started.... 
2023-01-14/22:05:33		Encoding succesfully finished !!!!
2023-01-14/22:12:51		Encoding has been started.... 
2023-01-14/22:12:51		Encoding succesfully finished !!!!
2023-01-14/22:25:33		Encoding has been started.... 
2023-01-14/22:25:33		Encoding succesfully finished !!!!
2023-01-14/22:33:25		Encoding has been started.... 
2023-01-14/22:33:25		Encoding succesfully finished !!!!
2023-01-14/22:34:09		Encoding has been started.... 
2023-01-14/22:34:09		Encoding succesfully finished !!!!
2023-01-14/22:35:02		Encoding has been started.... 
2023-01-14/22:35:02		Encoding succesfully finished !!!!
2023-01-14/22:35:16		Encoding has been started.... 
2023-01-14/22:35:16		Encoding succesfully finished !!!!
2023-01-14/22:37:20		Encoding has been started.... 
2023-01-14/22:37:20		Encoding succesfully finished !!!!
2023-01-14/22:38:49		Encoding has been started.... 
2023-01-14/22:38:49		Encoding succesfully finished !!!!
2023-01-14/22:39:10		Encoding has been started.... 
2023-01-14/22:39:10		Encoding succesfully finished !!!!
2023-01-14/22:43:10		Encoding has been started.... 
2023-01-14/22:43:10		Encoding succesfully finished !!!!
2023-01-15/20:01:40		Encoding has been started.... 
2023-01-15/20:01:40		Encoding succesfully finished !!!!
2023-01-15/20:02:25		Encoding has been started.... 
2023-01-15/20:02:25		Encoding succesfully finished !!!!
2023-01-15/20:02:26		Encoding has been started.... 
2023-01-15/20:02:26		Encoding succesfully finished !!!!
